#{"t_start": 1786754468.8206692, "env_id": "None"}
r,l,t
-141.904808,100,3.386303
-175.5222,100,3.420513
-139.481823,100,3.454334
-173.047992,100,3.486543
-118.54624,100,3.519698
-150.538673,100,3.55331
-155.483854,100,3.5835
-68.414291,100,3.618114
-81.822491,100,3.649712
-174.293809,100,3.680908
-99.526739,100,3.715177
-180.746149,100,3.746845
-42.523253,100,3.778118
-53.573258,100,3.811392
-117.622543,100,3.840501
-162.232623,100,3.875283
-117.259077,100,3.909972
-62.977957,100,3.945207
-121.724664,100,3.976512
-139.743669,100,4.00855
-132.516431,100,4.643196
-81.706249,100,4.681476
-150.768537,100,4.715567
-70.545665,100,4.746726
-38.551984,100,4.778166
-65.258063,100,4.812724
-165.389765,100,4.840697
-138.845597,100,4.874854
-113.209391,100,4.905572
-66.514592,100,4.935902
-73.134313,100,4.965566
-161.671052,100,5.001732
-91.514357,100,5.033968
-54.640483,100,5.06605
-104.03594,100,5.097947
-84.636937,100,5.132127
-58.25798,100,5.164256
-77.563958,100,5.197192
-115.19276,100,5.229416
-160.058925,100,5.263654
-81.363861,100,5.861516
-40.35122,100,5.898465
-73.475951,100,5.932766
-66.644605,100,5.965365
-93.526814,100,6.001733
-119.284402,100,6.036564
-111.484457,100,6.071409
-112.735729,100,6.101619
-55.45021,100,6.132066
-133.79404,100,6.162941
-146.314004,100,6.188406
-148.167993,100,6.222595
-103.152581,100,6.253886
-65.568534,100,6.285012
-122.457503,100,6.319689
-69.576702,100,6.353287
-88.502907,100,6.382321
-129.988592,100,6.41692
-121.512685,100,6.449201
-118.19108,100,6.479491
-140.734913,100,6.5112
-86.545072,100,7.119052
-90.112864,100,7.154485
-64.161246,100,7.187552
-114.978732,100,7.220153
-129.645896,100,7.257084
-60.20931,100,7.291789
-57.400434,100,7.319918
-88.386599,100,7.353064
-38.285443,100,7.38257
-89.350047,100,7.417035
-87.434011,100,7.449353
-66.147518,100,7.479519
-114.503638,100,7.512873
-58.112536,100,7.541436
-184.797488,100,7.572434
-82.138387,100,7.602919
-91.52189,100,7.634507
-96.99233,100,7.664991
-107.573535,100,7.694667
-129.709827,100,7.725571
-67.654869,100,8.326718
-51.582694,100,8.361257
-109.77914,100,8.397545
-122.4202,100,8.434725
-50.862841,100,8.469455
-84.940423,100,8.502671
-61.949707,100,8.534856
-134.874743,100,8.562691
-94.608472,100,8.598203
-109.972835,100,8.625484
-63.950357,100,8.658651
-69.072347,100,8.687761
-56.797914,100,8.715474
-42.406261,100,8.746756
-72.327798,100,8.778005
-110.441,100,8.808537
-75.858623,100,8.840217
-146.17012,100,8.868417
-74.098447,100,8.901728
-160.219707,100,8.930908
-67.644835,100,8.958946
-70.573003,100,9.566733
-76.563104,100,9.603751
-77.910579,100,9.638886
-73.178348,100,9.677814
-88.904606,100,9.710654
-66.768181,68,9.729527
-83.596357,100,9.769135
-63.828717,100,9.801273
-64.781214,100,9.833551
-134.754519,100,9.861735
-78.335975,100,9.897624
-67.360042,100,9.924102
-77.781448,100,9.958293
-53.58786,100,9.995305
-76.606505,100,10.029163
-82.830729,100,10.06367
-91.174865,96,10.094572
-61.771774,100,10.127267
-99.588365,100,10.160018
-86.365126,100,10.187598
-81.812093,100,10.222504
-78.815257,100,10.850862
-59.155178,100,10.886233
-75.488881,100,10.918783
-73.639188,100,10.95405
-83.591661,100,10.986107
-88.300653,100,11.016942
-74.301643,100,11.048078
-84.49026,100,11.078576
-70.576778,100,11.112351
-63.167462,100,11.143896
-70.54151,100,11.173979
-87.947003,100,11.206835
-72.654096,100,11.23635
-86.649786,100,11.26405
-79.771293,100,11.291857
-71.401827,100,11.326102
-82.873651,100,11.35598
-76.47464,100,11.388669
-78.949943,100,11.416955
-65.665014,100,11.451109
-74.287607,100,12.06353
-86.935,100,12.098824
-83.571889,100,12.132858
-81.175608,100,12.167087
-88.265722,100,12.204024
-81.439293,100,12.236224
-74.392332,100,12.271163
-89.920388,100,12.301398
-78.692043,100,12.326637
-85.049595,100,12.361593
-69.446834,100,12.395579
-74.625236,100,12.427145
-68.35281,100,12.458817
-82.869008,100,12.492853
-61.378015,100,12.528063
-78.665771,100,12.559978
-86.931365,100,12.59051
-85.010043,100,12.618319
-81.996444,100,12.652556
-72.395851,100,12.683893
-85.867341,100,12.71554
-79.907479,100,13.326917
-72.698166,100,13.361442
-95.203644,100,13.402344
-76.193571,100,13.430645
-80.678852,100,13.465413
-80.815582,100,13.503692
-66.712838,100,13.528119
-89.099758,100,13.565799
-97.293563,100,13.597869
-91.052666,100,13.628819
-81.046374,100,13.659779
-86.121116,100,13.693854
-64.884005,100,13.722328
-80.881969,100,13.755811
-62.718333,64,13.770948
-79.612223,100,13.808306
-50.377033,100,13.840461
-72.104379,100,13.873435
-75.815552,100,13.90466
-84.303325,100,13.936116
-54.702663,70,13.957969
-71.22235,100,14.623552
-75.285185,100,14.659275
-76.533894,100,14.694204
-31.02495,35,14.707151
-67.059659,100,14.739117
-76.423821,100,14.770026
-72.269505,100,14.80946
-65.023076,100,14.82814
-81.654751,100,14.861471
-84.435886,100,14.897555
-62.134143,100,14.925559
-60.62049,100,14.958644
-62.139651,100,14.990306
-65.610993,100,15.020037
-66.756553,100,15.052347
-73.448783,100,15.082985
-97.896272,100,15.115072
-105.201985,100,15.148366
-72.224774,100,15.180717
-78.961314,100,15.211657
-80.663291,100,15.243757
-70.030825,100,15.861289
-64.45654,100,15.8994
-77.888042,100,15.930501
-58.468342,100,15.965415
-78.899017,100,16.000561
-79.193676,100,16.034961
-74.751024,100,16.066681
-50.135808,66,16.086318
-72.704026,100,16.115225
-88.135315,100,16.145466
-78.556012,100,16.177839
-68.107902,100,16.208549
-52.884902,100,16.242668
-82.339522,100,16.276346
-74.477915,100,16.3073
-91.957618,100,16.338999
-70.612167,100,16.368454
-79.753188,100,16.403558
-50.022017,100,16.434813
-55.314252,100,16.468501
-72.930724,100,16.50086
-67.961778,100,17.104434
-86.099717,100,17.139211
-88.267423,100,17.173987
-60.534357,100,17.208486
-98.810675,100,17.243705
-64.557208,100,17.277947
-74.939905,100,17.310175
-59.828551,100,17.333482
-63.366181,100,17.368221
-73.12443,100,17.401576
-56.087149,100,17.434515
-66.060841,100,17.465372
-69.827422,100,17.502763
-74.970504,100,17.534883
-56.013218,100,17.566607
-54.102316,100,17.601004
-76.933457,100,17.632108
-72.072238,100,17.669941
-86.806878,100,17.70224
-70.67077,100,17.729226
-83.007732,100,18.340523
-55.97753,100,18.375263
-60.984705,100,18.409641
-79.433051,100,18.447025
-82.748248,100,18.478827
-62.765886,100,18.513796
-62.320952,100,18.544187
-64.890928,100,18.576465
-40.161366,61,18.595506
-62.221123,100,18.628358
-61.72771,100,18.659951
-60.784558,100,18.687784
-58.759813,100,18.722504
-74.245017,100,18.757313
-57.893425,100,18.784892
-59.222897,100,18.819633
-101.611098,100,18.855833
-74.141739,100,18.888552
-39.797285,39,18.90048
-63.310004,100,18.933863
-59.528374,100,18.965431
-61.390391,100,19.001706
-56.51422,100,19.605799
-83.376197,100,19.631994
-88.239276,100,19.66916
-56.750705,100,19.702968
-63.73986,100,19.738614
-74.736918,100,19.77091
-70.676295,100,19.804345
-54.256757,100,19.833698
-56.979871,100,19.861039
-55.489245,100,19.895572
-65.108818,100,19.927025
-46.24458,100,19.960719
-36.804445,38,19.973482
-74.602375,100,20.004518
-67.985618,100,20.037034
-61.266073,100,20.069644
-43.332259,50,20.084814
-63.757345,100,20.11628
-76.748585,100,20.14906
-27.206658,28,20.158722
-15.890429,27,20.16702
-60.435176,100,20.202271
-64.608685,100,20.232378
-83.354735,100,20.842267
-54.385904,100,20.879068
-51.265651,100,20.914387
-72.418555,100,20.950875
-52.571346,100,20.989044
-49.259574,100,21.023766
-28.330552,32,21.032696
-86.87882,100,21.062488
-59.616344,100,21.091729
-81.799285,100,21.121062
-84.780907,100,21.155553
-72.379501,100,21.180629
-71.813344,100,21.215401
-64.223109,100,21.247315
-92.67849,100,21.281763
-56.266597,100,21.312817
-68.063347,100,21.346794
-59.188429,100,21.380169
-23.789049,32,21.389289
-85.566821,100,21.422348
-73.001538,100,21.455686
-69.451198,100,21.486135
-70.86558,100,22.160692
-89.999017,100,22.202977
-50.633347,100,22.238147
-59.353708,100,22.271028
-69.435431,100,22.308057
-83.637141,100,22.340595
-40.819761,36,22.353649
-48.538709,100,22.382011
-71.613532,100,22.417106
-45.042897,100,22.463781
-60.408834,100,22.519142
-63.051679,100,22.59418
-69.767248,100,22.645448
-73.310317,100,22.687818
-74.095269,100,22.729565
-57.072914,100,22.770962
-61.153147,100,22.819782
-59.885939,100,22.859964
-53.994856,100,22.898458
-94.474661,100,22.930851
-47.351289,100,22.979364
-51.260637,100,23.85174
-91.483349,100,23.895392
-63.478598,100,23.930557
-76.350038,100,23.965615
-52.140999,100,23.999412
-52.751285,100,24.032003
-43.21399,100,24.063591
-57.8076,100,24.094496
-65.7834,100,24.128074
-65.818435,100,24.160399
-60.269646,100,24.187822
-53.84648,100,24.222852
-79.940267,100,24.255737
-72.477321,100,24.284808
-59.962744,100,24.312643
-58.922341,100,24.347821
-57.718825,100,24.381098
-50.629537,100,24.409973
-81.987884,100,24.437648
-57.56773,100,24.472457
-87.679095,100,25.097293
-87.657415,100,25.131111
-65.433601,100,25.164618
-54.148301,100,25.200845
-76.221883,100,25.235612
-56.904759,100,25.270763
-54.955789,100,25.3032
-58.619858,100,25.33297
-55.667208,100,25.361571
-55.932108,100,25.397509
-68.241321,100,25.427386
-51.822134,100,25.460947
-45.804269,100,25.492432
-53.901889,100,25.520894
-54.84214,100,25.553413
-49.338403,100,25.582919
-61.904115,100,25.611347
-52.155364,100,25.645463
-48.800912,100,25.67374
-79.330754,100,25.708561
-49.695348,100,25.736244
-47.822341,100,26.359713
-56.081004,100,26.395468
-62.948556,100,26.423645
-49.577377,100,26.465471
-58.277165,100,26.502616
-50.681234,100,26.534582
-67.285291,100,26.562557
-62.79493,100,26.597762
-47.542382,100,26.625056
-48.089201,100,26.656443
-75.36759,100,26.680677
-38.789069,54,26.703131
-57.980908,100,26.72952
-82.165106,100,26.764855
-63.590609,100,26.798327
-29.312662,40,26.810343
-76.913581,100,26.840003
-54.95834,100,26.868173
-72.57889,100,26.904453
-45.560843,100,26.930574
-62.660747,100,26.965436
-49.860782,100,27.578597
-51.263366,100,27.618039
-71.792919,100,27.654281
-65.512255,100,27.687574
-77.962141,100,27.722253
-55.205757,100,27.760411
-63.962409,100,27.791941
-77.154931,100,27.819957
-52.258252,100,27.851868
-82.913537,100,27.875106
-48.47576,100,27.911427
-24.221329,28,27.917025
-56.272229,100,27.953753
-46.870206,100,27.985253
-55.413956,100,28.016057
-61.324109,100,28.05107
-57.503547,100,28.0845
-13.301158,27,28.093343
-25.238795,33,28.103859
-29.316604,38,28.114985
-27.392848,32,28.124542
-86.690081,100,28.157416
-57.140215,100,28.187677
-49.924012,100,28.21542
-53.953039,100,28.826874
-50.318322,100,28.861381
-56.549236,100,28.900354
-60.926123,100,28.932429
-49.192927,100,28.969126
-87.898709,100,29.004498
-49.243874,100,29.038302
-83.724423,100,29.066342
-53.330224,100,29.099825
-75.419496,100,29.131998
-72.440337,100,29.166971
-53.573354,100,29.202114
-85.140072,100,29.236307
-50.919844,100,29.267876
-69.761073,100,29.302491
-76.280883,100,29.333621
-76.846103,100,29.368081
-52.007731,100,29.402251
-60.71999,100,29.430601
-55.698144,100,29.465458
-74.587427,100,29.499541
-47.743686,100,30.100168
-56.450605,100,30.135834
-49.899574,100,30.167835
-59.438351,100,30.208475
-51.992188,100,30.246929
-78.14004,100,30.277897
-60.611947,100,30.310134
-51.075134,100,30.340383
-56.624293,100,30.375263
-49.240989,100,30.407384
-81.473105,100,30.437934
-68.068,100,30.475422
-53.099848,100,30.508964
-78.03147,100,30.538635
-89.909569,100,30.57015
-100.216974,100,30.604959
-57.998144,100,30.635269
-53.601269,100,30.664743
-52.381975,100,30.699288
-61.977731,100,30.729258
-56.282009,100,31.45823
-53.77978,100,31.492535
-35.8142,38,31.50544
-57.072991,100,31.541557
-58.798099,100,31.578423
-67.351477,100,31.613728
-64.458623,100,31.65029
-63.583385,100,31.675634
-38.539518,46,31.687603
-50.546737,100,31.722433
-53.740982,100,31.751346
-77.013004,100,31.77777
-66.710637,100,31.812688
-58.50002,100,31.845477
-62.480331,100,31.875209
-93.27974,100,31.910229
-70.30205,100,31.944963
-55.572535,100,31.984348
-60.501668,100,32.016875
-51.419358,100,32.047984
-84.224624,100,32.081307
-68.786169,100,32.112653
-55.036372,100,32.73315
-63.082758,100,32.765833
-53.757523,100,32.800895
-26.946951,37,32.812649
-24.016191,40,32.826533
-61.709113,100,32.861416
-91.166973,100,32.895217
-70.662672,100,32.923984
-58.123932,100,32.958314
-60.662044,100,32.988988
-34.277148,38,33.001716
-71.174416,100,33.034668
-70.643911,100,33.066328
-76.08972,100,33.101558
-70.883196,100,33.135368
-66.593619,100,33.167028
-50.37037,100,33.201971
-53.898572,100,33.236156
-63.757361,100,33.271276
-13.164524,23,33.277283
-20.911462,29,33.282974
-67.121281,100,33.312757
-68.924491,100,33.354934
-57.223047,100,33.383633
-74.01499,100,34.028027
-50.46979,100,34.062008
-87.309021,100,34.096357
-79.826983,100,34.131695
-69.222413,100,34.166367
-69.977746,100,34.200005
-63.599645,100,34.228808
-65.838751,100,34.261493
-72.738639,100,34.292817
-58.406695,100,34.319658
-55.212756,100,34.357747
-67.029013,100,34.389068
-46.825335,100,34.423769
-69.467591,100,34.457834
-50.099437,100,34.488678
-56.355036,100,34.519733
-61.339849,100,34.556328
-63.441468,100,34.577069
-60.189741,100,34.620265
-32.641527,46,34.626025
-68.759104,100,34.669736
-64.780744,100,35.295543
-80.776609,100,35.328347
-53.170386,100,35.360955
-61.771385,100,35.401218
-59.070298,100,35.440261
-51.30492,100,35.475279
-80.97079,100,35.508493
-69.339191,100,35.534776
-69.256532,100,35.569439
-60.450776,100,35.598791
-58.419899,100,35.624934
-42.024282,48,35.638812
-89.367547,100,35.673748
-90.65256,100,35.704444
-79.834596,100,35.729104
-58.614705,100,35.763322
-52.240154,100,35.791586
-50.711035,100,35.819534
-61.053554,100,35.852771
-33.602658,41,35.865287
-68.096451,100,35.897406
-54.827537,100,36.561079
-81.183462,100,36.594283
-51.442799,100,36.624984
-51.461874,100,36.659665
-6.681966,17,36.67059
-52.59269,100,36.704823
